,Unnamed: 0,Change,Height,Weight,Pos,School/Team,Class,Year,Player Name
94,95,7.0,6-0,170.0,PG,Memphis,Sr.,2014,Joe Jackson
95,96,6.0,6-3,195.0,PG/SG,Oregon St.,Sr.,2014,Roberto Nelson
96,97,5.0,6-2,192.0,PG,Ohio St.,Sr.,2014,Aaron Craft
97,98,4.0,6-0,165.0,PG,Providence,Sr.,2014,Bryce Cotton
98,99,3.0,6-10,252.0,C,New Mexico,Jr.,2014,Alex Kirk
99,100,2.0,6-7,220.0,SF,Marquette,Sr.,2014,Jamil Wilson
0,1,1.0,7-0,250.0,C,Kentucky,Fr.,2015,Karl Towns
1,2,1.0,6-5,200.0,PG,Guangdong,1996,2015,Emmanuel Mudiay
2,3,1.0,6-4,195.0,PG/SG,Ohio St.,Fr.,2015,Angelo Russell
3,4,1.0,6-11,270.0,C,Duke,Fr.,2015,Jahlil Okafor
4,5,1.0,6-8,215.0,SG/SF,FC Barcelona,1995,2015,Mario Hezonja
5,6,1.0,6-6,222.0,SG/SF,Duke,Fr.,2015,Justise Winslow
6,7,1.0,7-1,230.0,PF,Cajasol Sevilla,1995,2015,Kristaps Porzingis
7,8,1.0,6-6,242.0,SF,Arizona,Fr.,2015,Stanley Johnson
8,9,1.0,6-10,240.0,PF,Kentucky,Fr.,2015,Trey Lyles
9,10,1.0,6-2,185.0,PG,Murray St.,So.,2015,Cameron Payne
10,11,1.0,6-11,240.0,C,Texas,Fr.,2015,Myles Turner
11,12,2.0,6-6,205.0,SG,Kentucky,Fr.,2015,Devin Booker
12,13,,6-9,220.0,SF,Wisconsin,Jr.,2015,Sam Dekker
13,14,1.0,7-0,242.0,C,Kentucky,Jr.,2015,Willie Stein
14,15,1.0,6-11,245.0,PF,Arkansas,So.,2015,Bobby Portis
15,16,1.0,6-7,205.0,SF,Kansas,Fr.,2015,Kelly Oubre
16,17,3.0,6-2,190.0,PG,Louisville,So.,2015,Terry Rozier
17,18,,6-8,255.0,PF,Louisville,Jr.,2015,Montrezl Harrell
18,19,,6-5,200.0,SG,UNLV,Fr.,2015,Rashad Vaughn
19,20,2.0,6-4,200.0,PG,Notre Dame,Sr.,2015,Jerian Grant
20,21,2.0,6-6,230.0,SG/SF,Virginia,Jr.,2015,Justin Anderson
21,22,2.0,7-1,230.0,C,Wisconsin,Sr.,2015,Frank Kaminsky
22,23,-2.0,6-5,180.0,PG/SG,Utah,Sr.,2015,Delon Wright
23,24,1.0,6-9,222.0,PF,UCLA,Fr.,2015,Kevon Looney
24,25,2.0,6-9,200.0,PF,Syracuse,Fr.,2015,Chris Cullough
25,26,,6-7,210.0,SF,Arizona,So.,2015,Rondae Jefferson
26,27,1.0,6-4,215.0,SG,UCLA,Sr.,2015,Norman Powell
27,28,2.0,6-1,185.0,PG,Duke,Fr.,2015,Tyus Jones
28,29,2.0,6-8,240.0,PF,LSU,So.,2015,Jordan Mickey
29,30,6.0,6-9,245.0,PF/C,Syracuse,Sr.,2015,Rakeem Christmas
30,31,-2.0,6-11,250.0,PF/C,Cajasol Sevilla,1994,2015,Guillermo Hernangomez
31,32,,6-9,245.0,PF,Bowling Green,Sr.,2015,Richaun Holmes
32,33,,6-6,185.0,SG,Georgia St.,Jr.,2015,Hunter Hunter
33,34,,6-4,185.0,PG/SG,Boston College,Jr.,2015,Olivier Hanlan
34,35,,6-9,240.0,PF,LSU,So.,2015,Jarell Martin
35,36,1.0,6-8,215.0,SF,Anadolu Efes,1995,2015,Cedi Osman
36,37,1.0,6-8,240.0,PF/C,Kansas,Fr.,2015,Cliff Alexander
37,38,1.0,6-10,215.0,PF,UNLV,So.,2015,Christian Wood
38,39,1.0,6-6,210.0,SF,Nebraska,Jr.,2015,Terran Petteway
39,40,1.0,6-9,245.0,PF,Texas,Sr.,2015,Jonathan Holmes
40,41,1.0,7-0,260.0,C,Kentucky,So.,2015,Dakari Johnson
41,42,1.0,6-7,195.0,SG/SF,JUCO,So.,2015,Luis Montero
42,43,1.0,7-0,225.0,PF/C,KK Partizan,1994,2015,Nikola Milutinov
43,44,1.0,6-2,185.0,PG/SG,Oregon,Sr.,2015,Joseph Young
44,45,1.0,6-7,210.0,SG/SF,Stanford,Sr.,2015,Anthony Brown
45,46,1.0,6-1,170.0,PG,Michigan St.,Sr.,2015,Travis Trice
46,47,1.0,6-6,195.0,SG/SF,North Carolina,Jr.,2015,Tokoto Tokoto
47,48,1.0,6-8,230.0,PF,Arizona,Jr.,2015,Brandon Ashley
48,49,1.0,6-6,200.0,SG,Tennessee,Sr.,2015,Josh Richardson
49,50,1.0,6-11,250.0,C,Nanterre,1994,2015,Mouhammadou Jaiteh
50,51,1.0,6-6,215.0,PG/SG,Kentucky,So.,2015,Andrew Harrison
51,52,1.0,6-8,210.0,SF/PF,UTEP,So.,2015,Vince Hunter
52,53,1.0,6-5,215.0,SG,Notre Dame,Sr.,2015,Pat Connaughton
53,54,1.0,6-7,230.0,SF/PF,Michigan St.,Sr.,2015,Branden Dawson
54,55,1.0,6-9,220.0,SF/PF,Iowa,Sr.,2015,Aaron White
55,56,1.0,6-10,255.0,C,Zalgiris Kaunas,1993,2015,Arturas Gudaitis
56,57,1.0,6-5,200.0,SG,Florida,Jr.,2015,Michael Frazier
57,58,1.0,6-2,180.0,PG/SG,Stanford,Sr.,2015,Chasson Randle
58,59,1.0,6-9,230.0,PF,Wyoming,Sr.,2015,Larry Nance
59,60,1.0,7-0,260.0,C,Washington,So.,2015,Robert Upshaw
60,61,1.0,6-6,205.0,SG,Iowa St.,Sr.,2015,Bryce Jones
61,62,1.0,5-11,170.0,PG,UConn,Sr.,2015,Ryan Boatright
62,63,1.0,6-0,190.0,PG,West Virginia,Sr.,2015,Juwan Staten
63,64,1.0,6-6,220.0,SG,VCU,Sr.,2015,Treveon Graham
64,65,1.0,6-8,200.0,SF/PF,Crvena Zvezda,1993,2015,Luka Mitrovic
65,66,1.0,6-2,185.0,PG,Gonzaga,Sr.,2015,Kevin Pangos
66,67,1.0,6-7,215.0,PF,Murray St.,Sr.,2015,Jarvis Williams
67,68,1.0,6-8,232.0,SF/PF,Oklahoma State,Sr.,2015,Le Nash
68,69,1.0,6-5,205.0,SF,Arkansas,Jr.,2015,Michael Qualls
69,70,1.0,6-6,210.0,SG,Kentucky,So.,2015,Aaron Harrison
70,71,1.0,6-8,240.0,PF,Oklahoma,Sr.,2015,Tashawn Thomas
71,72,1.0,6-4,180.0,SG,Eastern Washington,Jr.,2015,Tyler Harvey
72,73,1.0,6-2,190.0,PG,Arizona,Sr.,2015,Mc Connell
73,74,1.0,6-8,220.0,SF/PF,Gipuzkoa Basket,1993,2015,Daniel Diez
74,75,1.0,6-4,210.0,SG,Maryland,Sr.,2015,Dez Wells
75,76,1.0,6-10,210.0,PF,Florida,So.,2015,Chris Walker
76,77,1.0,6-0,170.0,PG,Wisconsin Green Bay,Sr.,2015,Keifer Sykes
77,78,1.0,6-1,180.0,PG,Temple,Sr.,2015,Will Cummings
78,79,1.0,6-6,190.0,SF,St. Johns,Sr.,2015,Sir Pointer
79,80,1.0,6-1,180.0,PG,Duke,Sr.,2015,Quinn Cook
80,81,1.0,6-8,260.0,PF/C,UC Santa Barbara,Sr.,2015,Alan Williams
81,82,1.0,6-3,215.0,SG,St. Johns,Sr.,2015,Angelo Harrison
82,83,1.0,6-8,200.0,SF,KK Partizan,1994,2015,Adin Vrabac
83,84,1.0,6-2,190.0,SG,UC Davis,Sr.,2015,Corey Hawkins
84,85,1.0,6-9,250.0,PF,Souffel,1993,2015,Kevin Dinal
85,86,1.0,6-6,190.0,SG/SF,Maccabi Rishon Lezion,1993,2015,Shawn Dawson
86,87,1.0,6-7,220.0,SG,Villanova,Sr.,2015,Darrun Hilliard
87,88,1.0,6-9,240.0,C,Massachusetts,Sr.,2015,Cady Lalanne
88,89,1.0,6-4,215.0,SG,Penn State,Sr.,2015,Newbill Newbill
89,90,1.0,6-6,210.0,SG,NC State,Sr.,2015,Ralston Turner
90,91,1.0,6-3,180.0,PG/SG,William & Mary,Sr.,2015,Marcus Thornton
91,92,1.0,6-3,210.0,PG/SG,NC State,Jr.,2015,Trevor Lacey
92,93,1.0,6-7,190.0,SG,FC Barcelona,1993,2015,Marcus Eriksson
93,94,1.0,6-2,170.0,PG,Colorado,Sr.,2015,Askia Booker
94,95,1.0,6-3,210.0,PG/SG,Boise State,Sr.,2015,Derrick Marks
95,96,1.0,6-10,240.0,PF,California,Sr.,2015,David Kravish
96,97,1.0,6-7,200.0,SG/SF,Bahia Basket,1996,2015,Juan Vaulet
97,98,1.0,6-5,215.0,SF,Providence,Sr.,2015,La Henton
98,99,1.0,6-8,240.0,PF,Virginia,Sr.,2015,Darion Atkins
99,100,1.0,6-5,200.0,PG/SG,Cajasol Sevilla,1994,2015,Nikola Radicevic
0,1,1.0,6-10,240.0,SF/PF,LSU,Fr.,2016,Ben Simmons
1,2,1.0,6-9,195.0,SF,Duke,Fr.,2016,Brandon Ingram
2,3,1.0,6-6,225.0,SG/SF,California,Fr.,2016,Jaylen Brown
3,4,1.0,6-4,220.0,PG,Providence,Jr.,2016,Kris Dunn
4,5,1.0,6-5,215.0,SG,Oklahoma,Sr.,2016,Buddy Hield
5,6,1.0,7-0,220.0,PF,Maccabi Tel Aviv,1997,2016,Dragan Bender
6,7,1.0,6-10,235.0,PF,Washington,Fr.,2016,Marquese Chriss
7,8,2.0,6-10,240.0,PF/C,Gonzaga,So.,2016,Domantas Sabonis
8,9,2.0,6-7,175.0,SG,Anadolu Efes,1997,2016,Furkan Korkmaz
9,10,-1.0,6-4,205.0,PG/SG,Kentucky,Fr.,2016,Jamal Murray
10,11,1.0,6-5,170.0,PG/SG,Washington,Fr.,2016,Dejounte Murray
11,12,10.0,6-5,190.0,SG,Florida St.,Fr.,2016,Malik Beasley
12,13,,6-10,240.0,PF/C,Michigan St.,Fr.,2016,Deyonta Davis
13,14,3.0,7-0,215.0,PF/C,Kentucky,Fr.,2016,Skal Labissiere
14,15,-1.0,6-11,245.0,C,Vanderbilt,Jr.,2016,Damian Jones
15,16,-1.0,6-10,210.0,PF,North Carolina,Sr.,2016,Brice Johnson
16,17,-1.0,7-1,240.0,C,Utah,So.,2016,Jakob Poeltl
17,18,1.0,6-11,245.0,PF/C,Marquette,Fr.,2016,Henry Ellenson
18,19,1.0,6-6,200.0,SG,Syracuse,Fr.,2016,Malachi Richardson
19,20,1.0,6-5,210.0,SG/SF,Michigan St.,Sr.,2016,Denzel Valentine
20,21,4.0,7-0,265.0,C,Mega Leks,1997,2016,Ivica Zubac
21,22,-4.0,6-7,190.0,SG,Michigan,Sr.,2016,Caris Vert
22,23,,6-6,180.0,SG,UNLV,So.,2016,Patrick Caw
23,24,4.0,6-8,260.0,PF,SPO Rouen,1995,2016,Guerschon Yabusele
24,25,-1.0,6-9,220.0,PF/C,Kansas,Fr.,2016,Cheick Diallo
25,26,,7-1,215.0,PF/C,Australia,HSSr.,2016,Thon Maker
26,27,6.0,6-8,220.0,SF,Baylor,Sr.,2016,Taurean Prince
27,28,1.0,6-9,225.0,PF,Asefa Estudiantes,1995,2016,Juan Hernangomez
28,29,-2.0,6-11,235.0,PF/C,UNLV,Fr.,2016,Stephen Zimmerman
29,30,1.0,6-5,205.0,SG/SF,St. Joseph's,Jr.,2016,De Bembry
30,31,3.0,6-11,250.0,C,Cibona Zagreb,1997,2016,Ante Zizic
31,32,-2.0,6-7,195.0,SG/SF,Mega Leks,1995,2016,Timothe Luwawu
32,33,-1.0,6-4,200.0,PG/SG,Vanderbilt,So.,2016,Wade Baldwin
33,34,5.0,6-5,225.0,SG,Virginia,Sr.,2016,Malcolm Brogdon
34,35,1.0,6-3,185.0,PG/SG,Oregon St.,Sr.,2016,Gary Payton
35,36,-1.0,6-9,230.0,PF,New Mexico St.,So.,2016,Pascal Siakam
36,37,,6-10,255.0,C,Maryland,Fr.,2016,Diamond Stone
37,38,,6-1,195.0,PG,Notre Dame,Jr.,2016,Demetrius Jackson
38,39,1.0,6-3,175.0,PG,NC State,Jr.,2016,Anthony Barber
39,40,1.0,6-9,225.0,PF,Weber St.,Sr.,2016,Joel Bolomboy
40,41,1.0,6-7,205.0,SG/SF,Syracuse,Sr.,2016,Michael Gbinije
41,42,1.0,5-9,175.0,PG,Oakland,Jr.,2016,Kahlil Felder
42,43,5.0,6-4,210.0,PG/SG,Seton Hall,So.,2016,Isaiah Whitehead
43,44,10.0,6-7,200.0,SG/SF,UConn,So.,2016,Daniel Hamilton
44,45,-1.0,5-10,150.0,PG,Kentucky,So.,2016,Tyler Ulis
45,46,-1.0,6-4,190.0,PG/SG,Oklahoma,Sr.,2016,Isaiah Cousins
46,47,-1.0,6-8,230.0,PF,Providence,So.,2016,Ben Bentil
47,48,-1.0,6-5,230.0,SG,Kansas,Jr.,2016,Wayne Selden
48,49,3.0,7-2,275.0,C,Panathinaikos,1997,2016,Georgios Papagiannis
49,50,-1.0,7-2,215.0,PF/C,Xinjiang,1996,2016,Zhou Qi
50,51,-1.0,7-0,260.0,C,Purdue,Sr.,2016,Hammons Hammons
51,52,-1.0,6-8,220.0,PF,Kansas,Sr.,2016,Perry Ellis
52,53,,6-10,240.0,PF,Notre Dame,Sr.,2016,Zach Auguste
53,54,1.0,6-7,215.0,SG/SF,Texas A&M,Sr.,2016,Danuel House
54,55,1.0,6-7,215.0,SF,Indiana,Jr.,2016,Troy Williams
55,56,1.0,6-4,215.0,SG,Wichita State,Sr.,2016,Ron Baker
56,57,1.0,6-9,200.0,SF/PF,Boise State,Jr.,2016,James Webb
57,58,1.0,6-5,180.0,SG,Denain,1996,2016,Isaia Cordinier
58,59,1.0,6-5,205.0,PG/SG,California,Sr.,2016,Tyrone Wallace
59,60,1.0,6-4,180.0,PG/SG,USC,Jr.,2016,Julian Jacobs
60,61,1.0,6-11,210.0,PF/C,Le Mans,1995,2016,Petr Cornelie
61,62,1.0,6-9,200.0,SG/SF,Mega Vizura,1995,2016,Rade Zagorac
62,63,1.0,6-7,190.0,SF,UNLV,Fr.,2016,Derrick Jones
63,64,1.0,6-8,220.0,SF/PF,St. Joseph's,Sr.,2016,Isaiah Miles
64,65,1.0,6-8,215.0,SF/PF,Florida,Sr.,2016,Dorian Smith
65,66,1.0,6-9,240.0,C,UNLV,Sr.,2016,Chris Obekpa
66,67,1.0,6-11,220.0,C,,1997,2016,Gracin Bakumanya
67,68,1.0,6-2,165.0,PG,North Carolina,Sr.,2016,Marcus Paige
68,69,1.0,6-10,245.0,PF,Gonzaga,Sr.,2016,Kyle Wiltjer
69,70,1.0,6-2,180.0,PG,Texas,Jr.,2016,Isaiah Taylor
70,71,1.0,6-8,250.0,PF,Maryland,Jr.,2016,Robert Carter
71,72,1.0,6-6,200.0,SG,Miami,Sr.,2016,Sheldon Clellan
72,73,1.0,6-8,240.0,PF,Kentucky,Sr.,2016,Alex Poythress
73,74,1.0,6-9,210.0,SF,Maryland,Sr.,2016,Jake Layman
74,75,1.0,6-10,215.0,PF,Iowa,Sr.,2016,Jarrod Uthoff
75,76,1.0,6-6,210.0,SG,Louisville,Sr.,2016,Damion Lee
76,77,1.0,6-2,190.0,PG,Wyoming,Sr.,2016,Josh Adams
77,78,1.0,6-8,230.0,SF/PF,Iowa St.,Sr.,2016,Georges Niang
78,79,1.0,6-8,210.0,SF,Bayern Munich,1994,2016,Paul Zipser
79,80,1.0,6-0,180.0,PG,Indiana,Sr.,2016,Yogi Ferrell
80,81,1.0,7-0,245.0,C,Arizona,Sr.,2016,Kaleb Tarczewski
81,82,1.0,6-4,180.0,PG,Chalon,1994,2016,David Michineau
82,83,1.0,6-6,190.0,SG,LSU,Jr.,2016,Tim Quarterman
83,84,1.0,6-9,220.0,SF,Stanford,Jr.,2016,Rosco Allen
84,85,1.0,6-3,180.0,PG/SG,Iona,Sr.,2016,English English
85,86,1.0,6-6,185.0,SG,Gran Canaria,1994,2016,Oriol Pauli
86,87,1.0,6-9,250.0,PF,Wake Forest,Sr.,2016,Devin Thomas
87,88,1.0,6-9,235.0,PF,Arizona,Sr.,2016,Ryan Anderson
88,89,1.0,6-10,245.0,C,Louisville,So.,2016,Chinanu Onuaku
89,90,1.0,6-8,230.0,PF,Virginia,Sr.,2016,Anthony Gill
90,91,1.0,6-10,250.0,PF,Louisiana Lafayette,Sr.,2016,Shawn Long
91,92,1.0,6-7,225.0,SF,Texas A&M,Sr.,2016,Jalen Jones
92,93,1.0,6-9,220.0,PF,Auburn,Sr.,2016,Tyler Harris
93,94,1.0,6-2,205.0,SG,Washington,Sr.,2016,Andrew Andrews
94,95,1.0,6-11,260.0,C,Texas,Sr.,2016,Prince Ibeh
95,96,1.0,6-11,235.0,PF,Hawaii,Jr.,2016,Stefan Jankovic
96,97,1.0,6-7,215.0,SG/SF,Kansas,Jr.,2016,Brannen Greene
97,98,1.0,6-3,215.0,PG/SG,Georgetown,Sr.,2016,Vauntes Rivera
98,99,1.0,6-10,225.0,C,UNLV,So.,2016,Goodluck Okonoboh
99,100,1.0,6-9,215.0,SF/PF,JUCO,So.,2016,Emmanuel Malou
0,1,1.0,6-8,205.0,SG/SF,Kansas,Fr.,2017,Josh Jackson
1,2,1.0,6-4,190.0,PG,Washington,Fr.,2017,Markelle Fultz
2,3,1.0,6-6,190.0,PG,UCLA,Fr.,2017,Lonzo Ball
3,4,1.0,6-3,170.0,PG,Kentucky,Fr.,2017,De Fox
4,5,1.0,6-10,210.0,SF/PF,Florida St.,Fr.,2017,Jonathan Isaac
5,6,1.0,6-2,195.0,PG,NC State,Fr.,2017,Dennis Smith
6,7,1.0,6-8,205.0,SF,Duke,Fr.,2017,Jayson Tatum
7,8,1.0,6-5,190.0,PG,Strasbourg,1998,2017,Frank Ntilikina
8,9,1.0,6-3,200.0,SG,Kentucky,Fr.,2017,Malik Monk
9,10,1.0,6-11,230.0,C,Gonzaga,Fr.,2017,Zach Collins
10,11,1.0,7-0,230.0,PF,Arizona,Fr.,2017,Lauri Markkanen
11,12,1.0,6-6,195.0,SG,Duke,So.,2017,Luke Kennard
12,13,1.0,6-2,210.0,SG,Louisville,So.,2017,Donovan Mitchell
13,14,1.0,6-10,245.0,PF/C,Kentucky,Fr.,2017,Bam Adebayo
14,15,1.0,6-10,225.0,PF,UCLA,Fr.,2017,Leaf Leaf
15,16,1.0,6-9,225.0,PF,Utah,Jr.,2017,Kyle Kuzma
16,17,1.0,6-10,235.0,C,Texas,Fr.,2017,Jarrett Allen
17,18,1.0,6-10,220.0,PF/C,California,So.,2017,Ivan Rabb
18,19,1.0,6-9,225.0,PF/C,Wake Forest,So.,2017,John Collins
19,20,1.0,6-8,200.0,SF,North Carolina,Jr.,2017,Justin Jackson
20,21,1.0,6-10,230.0,PF/C,Duke,Fr.,2017,Harry Giles
21,22,1.0,6-11,230.0,C,Creighton,Fr.,2017,Justin Patton
22,23,1.0,6-7,185.0,SG,Adelaide 36ers,1998,2017,Terrance Ferguson
23,24,1.0,6-8,240.0,PF,Nevada,So.,2017,Cam Oliver
24,25,1.0,6-7,195.0,SG/SF,Kansas State,Sr.,2017,Wesley Iwundu
25,26,1.0,6-0,185.0,PG,Oklahoma State,So.,2017,Jawun Evans
26,27,1.0,6-8,225.0,PF/C,Oregon,Jr.,2017,Jordan Bell
27,28,1.0,6-10,235.0,PF,Michigan,Jr.,2017,Wilson Wilson
28,29,2.0,6-9,250.0,PF/C,Purdue,So.,2017,Caleb Swanigan
29,30,,7-0,250.0,PF,Zalgiris Kaunas,1998,2017,Isaiah Hartenstein
30,31,3.0,6-4,190.0,PG/SG,Colorado,Sr.,2017,Derrick White
31,32,,6-3,200.0,PG/SG,Duke,Fr.,2017,Frank Jackson
32,33,,6-9,215.0,PF,Syracuse,So.,2017,Tyler Lydon
33,34,1.0,6-5,210.0,SG,Villanova,Sr.,2017,Josh Hart
34,35,2.0,6-7,235.0,SF/PF,Indiana,So.,2017,Anunoby Anunoby
35,36,2.0,6-10,250.0,C,North Carolina,Fr.,2017,Tony Bradley
36,37,-1.0,6-6,200.0,PG/SG,South Carolina,So.,2017,Dozier Dozier
37,38,1.0,6-5,210.0,SG,South Carolina,Sr.,2017,Sindarius Thornwell
38,39,18.0,6-0,190.0,PG,Kansas,Sr.,2017,Frank Mason
39,40,2.0,6-6,240.0,SF/PF,SMU,Jr.,2017,Semi Ojeleye
40,41,2.0,6-4,185.0,SG,Oregon,So.,2017,Tyler Dorsey
41,42,2.0,7-1,220.0,C,Gran Canaria,1995,2017,Anzejs Pasecniks
42,43,2.0,6-9,235.0,PF,Nanterre 92,1995,2017,Mathias Lessort
43,44,2.0,6-10,235.0,PF,FMP Belgrade,1996,2017,Jonah Bolden
44,45,2.0,6-10,250.0,C,UCLA,Fr.,2017,Ike Anigbogu
45,46,10.0,6-8,235.0,PF,Valparaiso,Sr.,2017,Alec Peters
46,47,2.0,6-7,220.0,SF,Clemson,Sr.,2017,Jaron Blossomgame
47,48,-7.0,6-9,240.0,PF,Baylor,Jr.,2017,Johnathan Motley
48,49,1.0,6-6,190.0,SG/SF,Paulistano,1996,2017,Wesley Da
49,50,-10.0,6-6,220.0,SG/SF,Florida St.,So.,2017,Dwayne Bacon
50,51,2.0,6-6,205.0,SG/SF,Houston,Sr.,2017,Damyean Dotson
51,52,23.0,6-5,225.0,SG/SF,SMU,Sr.,2017,Sterling Brown
52,53,29.0,6-2,190.0,SG,Arizona,Sr.,2017,Kadeem Allen
53,54,-6.0,6-5,175.0,PG/SG,Xavier,So.,2017,Edmond Sumner
54,55,-4.0,6-6,220.0,SF,Oregon,Jr.,2017,Dillon Brooks
55,56,-4.0,6-9,210.0,SF/PF,Mega Leks,1997,2017,Vlatko Cancar
56,57,-3.0,7-5,215.0,C,Spirou Charleroi (Belgium),1995,2017,Michael Fusek
57,58,-3.0,6-4,215.0,SG,Georgetown,Jr.,2017,Peak Peak
58,59,-1.0,6-7,195.0,SF,Notre Dame,Sr.,2017,Beachem Beachem
59,60,-1.0,6-2,175.0,PG,Iowa St.,Sr.,2017,Monte Morris
60,61,-1.0,6-5,190.0,SG,Dayton,Sr.,2017,Charles Cooke
61,62,-1.0,6-4,170.0,PG/SG,Arizona,Fr.,2017,Kobi Simmons
62,63,-1.0,6-4,195.0,SG,LSU,So.,2017,Antonio Blakeney
63,64,-1.0,6-10,235.0,PF,Mega Leks,1996,2017,Alpha Kaba
64,65,-1.0,6-8,190.0,SF/PF,Florida,Jr.,2017,Devin Robinson
65,66,-1.0,6-3,190.0,PG,Gonzaga,Jr.,2017,Nigel Goss
66,67,-1.0,6-8,235.0,PF,North Carolina,Sr.,2017,Isaiah Hicks
67,68,-1.0,6-11,250.0,C,Indiana,So.,2017,Thomas Bryant
68,69,-1.0,6-9,225.0,SF/PF,FC Barcelona,1995,2017,Aleksandar Vezenkov
69,70,-1.0,6-2,195.0,PG,Maryland,Jr.,2017,Melo Trimble
70,71,-1.0,6-11,215.0,PF/C,Arizona,So.,2017,Chance Comanche
71,72,-1.0,6-6,205.0,SG/SF,Miami,Sr.,2017,Davon Reed
72,73,-1.0,7-2,210.0,C,Le Mans,1997,2017,Jonathan Jeanne
73,74,-1.0,6-9,185.0,PF/C,Oregon,Sr.,2017,Chris Boucher
74,75,-1.0,6-9,230.0,PF,Louisville,Jr.,2017,Jaylen Johnson
75,76,,6-10,230.0,C,Arkansas,Sr.,2017,Moses Kingsley
76,77,,7-0,260.0,C,Kentucky,So.,2017,Isaac Humphries
77,78,,6-3,190.0,PG,Wisconsin,Sr.,2017,Bronson Koenig
78,79,,6-7,215.0,PF,Eastern Washington,Sr.,2017,Jacob Wiley
79,80,,6-7,220.0,SF,Syracuse,Sr.,2017,Andrew White
80,81,,6-4,195.0,PG,Mega Leks,1995,2017,Ognjen Jaramaz
81,82,1.0,6-5,205.0,SG,Iowa,Sr.,2017,Peter Jok
82,83,1.0,6-10,230.0,PF/C,BYU,So.,2017,Eric Mika
83,84,1.0,7-1,250.0,C,Vanderbilt,Sr.,2017,Luke Kornet
84,85,1.0,6-2,220.0,PG/SG,Kentucky,So.,2017,Isaiah Briscoe
85,86,1.0,6-9,230.0,PF/C,Chattanooga,Sr.,2017,Justin Tuoyo
86,87,1.0,6-8,215.0,SF,Utah State,Sr.,2017,Jalen Moore
87,88,1.0,6-10,275.0,C,North Carolina,Sr.,2017,Kennedy Meeks
88,89,1.0,6-0,190.0,PG,Michigan,Sr.,2017,Derrick Walton
89,90,1.0,6-3,200.0,SG,Indiana,Jr.,2017,James Blackmon
90,91,1.0,6-6,210.0,SG,Michigan,Sr.,2017,Zak Irvin
91,92,1.0,6-6,200.0,SG,California,Sr.,2017,Jabari Bird
92,93,1.0,6-7,215.0,SF,Pittsburgh,Sr.,2017,Jamel Artis
93,94,1.0,6-7,255.0,PF,Wisconsin,Sr.,2017,Nigel Hayes
94,95,1.0,6-10,240.0,C,Kansas,Sr.,2017,Landen Lucas
